Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
MURRAY INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,481.28,726.0,856.32,nan,4.24,2018
MURRAY INTERNATIONAL TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1450.58,1120.0,1251.41,nan,3.94,2017
MX OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.66,0.08,0.85,nan,nan,2017
MXC CAPITAL LIMITED,Financial Services,Specialty Finance,44.02,1.31,nan,-7.19,nan,2017
MYSALE GROUP PLC,General Retailers,Apparel Retailers,30.56,19.5,20.09,-11.79,nan,2017
N4 PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,8.5,8.95,1.66,nan,nan,2017
NAHL GROUP PLC,Media,Media Agencies,49.41,106.25,-12.75,nan,9.54,2017
NAKAMA GROUP PLC,Support Services,Business Training &amp; Employment Agencies,1.94,1.65,0.76,85.71,0.0,2017
NANOCO GROUP PLC,Technology Hardware &amp; Equipment,Semiconductors,109.51,38.0,3.22,nan,nan,2018
NASSTAR PLC,Software &amp; Computer Services,Internet,67.28,11.7,0.28,-3.6,0.56,2017
NATIONAL EXPRESS GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,1913.9,371.6,-95.75,79.57,3.54,2017
NATIONAL GRID PLC,"Gas, Water &amp; Multiutilities",Multiutilities,25972.83,774.2,343.32,139.63,16.08,2018
NAUTILUS MARINE SERVICES PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,1.39,3.85,55.15,nan,nan,2016
NB GLOBAL FLOATING RATE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,649.54,88.1,101.45,nan,5.31,2017
NB PRIVATE EQUITY PARTNERS LIMITED,Equity Investment Instruments,Equity Investment Instruments,489.37,1017.5,1363.15,nan,3.54,2017
NCC GROUP PLC,Software &amp; Computer Services,Computer Services,487.02,180.0,-11.45,nan,2.19,2018
NCONDEZI ENERGY LIMITED,Mining,Coal,15.95,6.45,4.23,20.02,nan,2017
NEKTAN PLC,Travel &amp; Leisure,Gambling,6.64,14.0,nan,-103.38,nan,2017
NETCALL PLC,Software &amp; Computer Services,Software,43.18,30.5,-5.06,nan,0.72,2018
NEW STAR INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,74.57,105.0,156.8,nan,nan,2018
NEWMARK SECURITY PLC,Support Services,Business Support Services,3.4,0.78,0.46,-7.63,0.0,2018
NEWRIVER REIT PLC,Real Estate Investment Trusts,Retail REITs,641.72,207.0,294.56,nan,7.29,2018
NEXT PLC,General Retailers,Apparel Retailers,5574.85,4350.0,313.95,214.46,6.48,2018
NEXT FIFTEEN COMMUNICATIONS GROUP PLC,Media,Media Agencies,407.47,492.0,-23.62,15.06,1.5,2018
NEXTENERGY SOLAR FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,668.63,114.5,104.86,nan,nan,2018
NEXUS INFRASTRUCTURE PLC,Construction &amp; Materials,Heavy Construction,73.95,194.0,38.44,-98.58,nan,2017
NICHOLS PLC,Beverages,Soft Drinks,506.45,1370.0,164.09,nan,2.15,2017
NMC HEALTH PLC,Health Care Equipment &amp; Services,Health Care Providers,5696.64,2604.0,-25.68,92.81,0.34,2017
NMCN PLC,Construction &amp; Materials,Heavy Construction,52.78,530.0,126.43,-93.83,nan,2017
NORCROS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,152.57,195.25,7.11,45.03,4.12,2018
NORTH AMERICAN INCOME TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,352.54,1260.0,1377.57,nan,3.0,2018
NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,381.06,2665.0,3462.06,nan,0.0,2018
NORTHBRIDGE INDUSTRIAL SERVICES PLC,Industrial Engineering,Industrial Machinery,30.69,107.5,88.23,24.46,nan,2017
NORTHERN BEAR PLC,Support Services,Business Support Services,13.14,70.5,3.97,5.46,5.67,2018
NORTHGATE PLC,Support Services,Business Support Services,506.02,376.0,398.05,81.49,4.77,2018
NOSTRA TERRA OIL AND GAS COMPANY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,3.61,2.3,-0.76,-523.89,nan,2017
NOSTRUM OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,193.83,99.8,278.67,143.52,nan,2017
PAO NOVATEK,Oil &amp; Gas Producers,Exploration &amp; Production,40766.98,169.0,nan,12.81,0.2,2017
NOVOLIPETSK STEEL,Industrial Metals &amp; Mining,Iron &amp; Steel,10766.73,22.67,81.2,29.87,54.67,2017
NU-OIL AND GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,10.75,0.84,nan,nan,nan,2016
NUCLEUS FINANCIAL GROUP PLC,Financial Services,Specialty Finance,102.86,134.5,nan,nan,nan,nan
NUMIS CORPORATION PLC,Financial Services,Investment Services,257.29,221.5,102.76,nan,4.27,2017
NWF GROUP PLC,Support Services,Industrial Suppliers,78.49,177.5,45.62,14.41,3.07,2018
OAKLEY CAPITAL INVESTMENTS LIMITED,Financial Services,Specialty Finance,356.36,174.5,200.53,nan,6.83,2016
OBTALA LIMITED,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,23.21,5.85,24.89,4.47,nan,2017
OCADO GROUP PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5465.3,791.0,26.48,84.23,nan,2017
OCTAGONAL PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,9.24,1.62,0.87,nan,nan,2018
OILEX LD,Oil &amp; Gas Producers,Exploration &amp; Production,6.81,0.32,0.16,nan,nan,2018
OMEGA DIAGNOSTICS GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,16.5,13.0,1.65,4.48,nan,2018
ON THE BEACH GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,440.3,383.0,-0.38,nan,22.39,2017
ONLINE BLOCKCHAIN PLC,Software &amp; Computer Services,Software,1.86,23.0,12.5,nan,nan,2017
ONCIMMUNE HOLDINGS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,70.87,115.0,8.79,nan,nan,2018
ONE MEDIA IP GROUP PLC,Media,Broadcasting &amp; Entertainment,6.64,4.9,0.5,nan,nan,2017
ONESAVINGS BANK PLC,Financial Services,Consumer Finance,855.7,344.0,234.94,nan,3.11,2017
ONTHEMARKET PLC,Media,Media Agencies,56.15,91.5,nan,nan,nan,nan
OPG POWER VENTURES PLC,Electricity,Conventional Electricity,85.34,25.0,38.79,66.01,nan,2018
OPHIR ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,252.46,45.9,161.66,nan,nan,2017
OPTIBIOTIX HEALTH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,77.1,86.0,6.45,nan,nan,2017
ORACLE POWER PLC,Mining,Coal,5.42,0.41,0.03,nan,nan,2017
ORCHARD FUNDING GROUP PLC,Financial Services,Specialty Finance,20.18,94.5,61.3,105.23,nan,2018
ORIGO PARTNERS PLC,Financial Services,Specialty Finance,0.9,0.25,3.09,9.18,nan,2017
ORIOLE RESOURCES PLC,Mining,General Mining,2.81,0.43,2.23,nan,nan,2016
ORMONDE MINING PLC,Mining,Gold Mining,23.63,4.85,3.16,nan,nan,2017
OROSUR MINING INC,Mining,Gold Mining,8.19,6.0,0.33,112.22,nan,2018
OVOCA BIO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,6.22,7.62,24.57,nan,nan,2017
OXFORD BIODYNAMICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,194.38,208.0,nan,nan,-27.72,2017
OXFORD BIOMEDICA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,467.38,644.9,0.19,nan,nan,2017
OXFORD INSTRUMENTS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,522.12,885.0,36.43,10.97,1.79,2018
OXFORD METRICS PLC,Software &amp; Computer Services,Software,90.61,71.5,12.37,nan,2.04,2017
P2P GLOBAL INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,610.39,803.0,1006.49,nan,0.51,2017
PACIFIC ASSETS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,338.64,280.5,nan,nan,nan,2018
PACIFIC HORIZON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,168.86,288.0,351.26,nan,0.0,2018
PADDY POWER BETFAIR PLC,Travel &amp; Leisure,Gambling,5093.41,6435.0,76.82,nan,1.52,2017
PAGEGROUP PLC,Support Services,Business Training &amp; Employment Agencies,1478.26,440.8,72.18,nan,5.42,2017
PALACE CAPITAL PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,144.87,328.0,400.17,44.95,5.83,2018
PAN AFRICAN RESOURCES PLC,Mining,Gold Mining,192.63,8.97,10.87,-2.45,6.4,2017
PANTHEON INTERNATIONAL PLC,Equity Investment Instruments,Equity Investment Instruments,1066.05,1990.0,2414.82,nan,nan,2018
PANTHEON RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,38.0,16.5,21.69,nan,nan,2017
PANTHER SECURITIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,64.54,365.0,513.96,84.0,3.78,2017
PARAGON ENTERTAINMENT LIMITED,Travel &amp; Leisure,Recreational Services,1.83,0.93,1.33,28.41,nan,2017
PARAGON BANKING GROUP PLC,Financial Services,Consumer Finance,1006.75,392.6,340.49,nan,3.57,2017
PARITY GROUP PLC,Software &amp; Computer Services,Computer Services,8.16,7.9,2.32,22.7,nan,2017
PARK GROUP PLC,Financial Services,Consumer Finance,138.34,74.25,nan,nan,nan,nan
PARKMEAD GROUP (THE) PLC,Oil &amp; Gas Producers,Exploration &amp; Production,49.61,50.55,62.72,nan,nan,2018
PATAGONIA GOLD PLC,Mining,Gold Mining,13.24,64.5,0.99,78.93,nan,2017
PATHFINDER MINERALS PLC,Mining,General Mining,2.8,1.3,nan,nan,nan,2017
PATISSERIE HOLDINGS PLC,Travel &amp; Leisure,Restaurants &amp; Bars,581.21,429.5,74.4,nan,nan,2017
PAYPOINT PLC,Support Services,Financial Administration,552.0,800.0,52.12,nan,5.75,2018
PCF GROUP PLC,Financial Services,Specialty Finance,77.52,36.2,17.04,nan,0.67,2017
PCG ENTERTAINMENT PLC,Travel &amp; Leisure,Gambling,0.87,0.08,0.12,nan,nan,2018
PCI-PAL PLC,Software &amp; Computer Services,Computer Services,8.09,18.5,13.02,nan,0.0,2018
PEARSON PLC,Media,Publishing,7329.58,946.6,130.79,14.13,2.32,2017
PEBBLE BEACH SYSTEMS GROUP PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,6.42,5.15,nan,-169.02,nan,2017
PEEL HOTELS PLC,Travel &amp; Leisure,Hotels,9.6,68.5,164.68,36.63,0.0,2018
PELATRO PLC,Software &amp; Computer Services,Software,23.1,71.0,nan,nan,nan,nan
PENDRAGON PLC,General Retailers,Specialty Retailers,314.81,22.4,3.98,nan,5.54,2017
PENNANT INTERNATIONAL GROUP PLC,Software &amp; Computer Services,Software,40.11,119.0,32.05,-29.46,nan,2016
PENNON GROUP PLC,"Gas, Water &amp; Multiutilities",Water,2912.67,715.2,281.12,171.07,6.0,2018
PEOPLE'S OPERATOR PLC (THE),Mobile Telecommunications,Mobile Telecommunications,0.15,nan,11.12,-35.88,nan,2016
PERPETUAL INCOME AND GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,740.98,314.0,nan,nan,4.27,2018
PERSHING SQUARE HOLDINGS LTD,Equity Investment Instruments,Equity Investment Instruments,2187.82,1026.0,1312.7,nan,nan,2017
PERSIMMON PLC,Household Goods &amp; Home Construction,Home Construction,6098.25,1947.0,971.0,nan,8.58,2017
PERSONAL ASSETS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,908.63,39150.0,38821.2,nan,1.43,2018
PERSONAL GROUP HOLDINGS PLC,Nonlife Insurance,Insurance Brokers,136.22,442.0,72.06,nan,4.76,2017
PETARDS GROUP PLC,Support Services,Business Support Services,15.23,26.0,8.5,-17.79,nan,2017
PETRA DIAMONDS LIMITED,Mining,Diamonds &amp; Gemstones,326.06,41.4,50.14,113.31,nan,2018
PETREL RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.39,1.32,-0.17,nan,nan,2017
PETRO MATAD LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,15.06,2.44,4.94,nan,nan,2017
PETROFAC LIMITED,Oil Equipment &amp; Services,Oil Equipment &amp; Services,1650.0,481.0,174.81,67.11,5.66,2017
PETRONEFT RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,9.72,1.38,5.02,nan,nan,2017
PETROPAVLOVSK PLC,Mining,Gold Mining,209.01,6.93,13.5,102.5,nan,2017
PETS AT HOME GROUP PLC,General Retailers,Specialty Retailers,579.0,117.6,-17.32,nan,4.44,2018
PHOENIX GLOBAL MINING LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,8.44,25.0,1.2,nan,nan,2017
PHOENIX GROUP HOLDINGS PLC,Life Insurance,Life Insurance,4063.21,558.0,406.38,nan,6.45,2017
PHOENIX SPREE DEUTSCHLAND LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,358.68,343.0,193.28,71.33,6.45,2016
PJSC PHOSAGRO,Chemicals,Specialty Chemicals,3889.27,12.85,nan,122.29,9.21,2017
PHOTO-ME INTERNATIONAL PLC,Leisure Goods,Recreational Products,337.33,85.9,30.69,-17.44,5.28,2018
PHOTONSTAR LED GROUP PLC,Household Goods &amp; Home Construction,Durable Household Products,0.12,0.02,-0.08,106.48,nan,2017
PHSC PLC,Support Services,Business Support Services,1.61,11.25,10.96,nan,8.7,2018
PHYSIOMICS PLC,Health Care Equipment &amp; Services,Medical Equipment,2.73,3.85,0.96,nan,nan,2018
PICTON PROPERTY INCOME LD,Real Estate Investment Trusts,Diversified REITs,460.13,85.2,90.42,37.13,4.03,2018
PIPEHAWK PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,1.7,5.0,nan,-122.85,nan,2017
PIRES INVESTMENTS PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,0.75,2.1,1.85,nan,nan,2017
PITTARDS PLC,Personal Goods,Clothing &amp; Accessories,9.93,71.5,140.8,40.43,nan,2017
PJSC MAGNIT,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5093.17,13.29,3371.14,41.7,nan,2017
PUBLIC JOINT STOCK COMPANY POLYUS,Mining,Gold Mining,8200.75,38.45,334.0,545.57,34.4,2017
PUBLIC JOINT STOCK COMPANY SEVERSTAL,Industrial Metals &amp; Mining,Iron &amp; Steel,8699.72,13.55,293.02,nan,0.0,2017
PLANT HEALTH CARE PLC,Chemicals,Specialty Chemicals,12.96,7.22,4.41,-11.41,nan,2017
PLAYTECH PLC,Travel &amp; Leisure,Gambling,1221.78,394.4,82.6,-7.98,3.74,2017
PLEXUS HOLDINGS PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,53.22,50.5,25.47,-15.75,nan,2017
PLUS500 LTD,Financial Services,Investment Services,1558.75,1426.0,154.9,nan,14.16,2017
PLUTUS POWERGEN PLC,Financial Services,Specialty Finance,3.96,0.47,-0.01,-3.59,nan,2018
POLAR CAPITAL HOLDINGS PLC,Financial Services,Asset Managers,444.67,488.0,96.5,nan,5.45,2018
POLAR CAPITAL GLOBAL FINANCIALS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,248.4,122.25,144.64,0.94,2.82,2017
POLAR CAPITAL GLOBAL HEALTHCARE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,246.78,202.0,203.77,-0.33,1.72,2017
POLAR CAPITAL TECHNOLOGY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1477.43,1090.0,1159.69,nan,nan,2018
POLAREAN IMAGING PLC,Health Care Equipment &amp; Services,Medical Equipment,15.61,16.25,nan,nan,nan,nan
POLEMOS PLC,Financial Services,Investment Services,0.83,0.7,nan,nan,nan,2017
POLO RESOURCES LIMITED,Financial Services,Specialty Finance,12.63,3.81,12.66,nan,nan,2017
POLYMETAL INTERNATIONAL PLC,Mining,Gold Mining,3858.21,863.8,234.13,108.65,2.63,2017
POLYPIPE GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,654.08,332.2,-27.31,nan,2.81,2017
PORT ERIN BIOPHARMA INVESTMENTS LIMITED,Pharmaceuticals &amp; Biotechnology,Biotechnology,0.8,3.45,9.12,nan,nan,2017
PORTA COMMUNICATIONS PLC,Media,Media Agencies,6.58,1.15,-1.47,206.43,nan,2017
PORTMEIRION GROUP PLC,Household Goods &amp; Home Construction,Durable Household Products,103.29,975.0,283.9,-3.46,3.75,2017
PORVAIR PLC,Industrial Engineering,Industrial Machinery,189.16,412.0,38.65,nan,0.9,2017
POWERHOUSE ENERGY GROUP PLC,Alternative Energy,Alternative Fuels,9.84,0.56,nan,-81.32,nan,2017
PREMIER FOODS PLC,Food Producers,Food Products,277.5,34.65,-14.88,nan,nan,2018
PREMIER AFRICAN MINERALS LIMITED,Mining,General Mining,8.12,0.1,0.18,0.42,nan,2017
PREMIER ASSET MANAGEMENT GROUP PLC,Financial Services,Asset Managers,189.38,170.0,nan,nan,12.35,2017
PREMIER GLOBAL INFRASTRUCTURE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,18.45,102.0,165.07,nan,6.79,2017
PREMIER OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,543.75,69.2,-102.2,nan,nan,2017
PREMIER TECHNICAL SERVICES GROUP PLC,Support Services,Business Support Services,171.23,145.0,5.95,68.44,0.79,2017
PRESIDENT ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,98.7,9.2,3.06,11.74,nan,2017
PRESSURE TECHNOLOGIES PLC,Industrial Engineering,Industrial Machinery,17.67,95.0,28.17,32.75,nan,2017
PRIMARY HEALTH PROPERTIES PLC,Real Estate Investment Trusts,Specialty REITs,853.62,111.0,94.74,123.82,nan,2017
PRIME PEOPLE PLC,Support Services,Business Training &amp; Employment Agencies,8.96,76.0,37.35,nan,6.37,2018
PRIMORUS INVESTMENTS PLC,Media,Media Agencies,2.66,0.1,0.18,nan,nan,2017
PRINCESS PRIVATE EQUITY HOLDING LIMITED,Equity Investment Instruments,Equity Investment Instruments,539.38,790.0,850.38,nan,nan,2016
PROACTIS HOLDINGS PLC,Software &amp; Computer Services,Software,129.17,137.0,-32.02,4.22,0.73,2017
PROPERTY FRANCHISE GROUP PLC (THE),Real Estate Investment &amp; Services,Real Estate Services,29.05,112.5,7.37,11.11,nan,2016
PROSPEX OIL AND GAS PLC,Mining,Gold Mining,3.22,0.27,1.59,nan,nan,2016
PROTEOME SCIENCES PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,7.2,2.46,nan,-320.72,nan,2017
PROVEXIS PLC,Food Producers,Food Products,4.96,0.28,0.04,nan,nan,2018
PROVIDENCE RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,69.63,11.65,12.51,nan,nan,2017
PROVIDENT FINANCIAL PLC,Financial Services,Consumer Finance,1456.38,586.6,259.45,353.43,9.5,2017
PRUDENTIAL PLC,Life Insurance,Life Insurance,36339.82,1340.0,138.92,nan,2.39,2017
PURECIRCLE LIMITED,Food Producers,Food Products,447.15,263.5,72.77,43.35,nan,2018
PURETECH HEALTH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,485.84,175.0,12.57,-31.52,-33.57,2016
PURPLEBRICKS GROUP PLC,Real Estate Investment &amp; Services,Real Estate Services,448.8,156.0,25.89,nan,nan,2018
PZ CUSSONS PLC,Personal Goods,Personal Products,912.33,214.4,13.09,35.85,3.48,2018
QINETIQ GROUP PLC,Aerospace &amp; Defense,Defense,1626.64,288.9,106.04,nan,3.05,2018
QUADRISE FUELS INTERNATIONAL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,20.43,2.27,0.74,nan,nan,2017
QUARTIX HOLDINGS PLC,Software &amp; Computer Services,Software,126.79,260.0,11.4,nan,nan,2017
QUILTER PLC,Financial Services,Asset Managers,2250.74,117.14,186.92,nan,589.67,2017
QUIXANT PLC,Technology Hardware &amp; Equipment,Computer Hardware,245.52,360.0,39.02,nan,0.48,2017
QUIZ PLC,General Retailers,Apparel Retailers,41.62,31.75,14.82,-21.83,nan,2018
nan,nan,nan,nan,nan,nan,nan,nan,nan
R.E.A. HOLDINGS PLC,Food Producers,Farming &amp; Fishing,98.84,244.0,176.77,71.25,nan,2017
RA INTERNATIONAL GROUP PLC,General Industrials,Diversified Industrials,76.37,42.5,nan,nan,nan,nan
RAMBLER METALS &amp; MINING PLC,Mining,General Mining,15.49,2.2,8.67,31.17,nan,2017
RAMSDENS HOLDINGS PLC,Financial Services,Consumer Finance,52.27,169.5,88.01,-46.19,3.69,2018
RANDALL &amp; QUILTER INVESTMENT HOLDINGS LTD,Nonlife Insurance,Reinsurance,207.87,170.5,116.03,nan,nan,2017
RANGE RESOURCES LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,1.9,0.03,0.2,nan,nan,2017
RANGER DIRECT LENDING FUND PLC,Equity Investment Instruments,Equity Investment Instruments,106.41,544.0,1278.62,nan,nan,2017
RANK GROUP PLC,Travel &amp; Leisure,Gambling,538.36,142.2,-16.02,2.35,3.89,2018
RATHBONE BROTHERS PLC,Financial Services,Asset Managers,1292.68,2328.0,397.47,nan,2.35,2017
RAVEN PROPERTY GROUP LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,310.97,46.95,61.42,109.58,nan,2017
RDI REIT P.L.C.,Real Estate Investment Trusts,Diversified REITs,544.48,28.3,40.44,103.86,6.58,2017
ROYAL DUTCH SHELL PLC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,103205.8,2341.5,1599.35,33.63,5.7,2017
ROYAL DUTCH SHELL PLC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,87644.39,2365.0,1599.35,33.63,5.64,2017
REABOLD RESOURCES PLC,Financial Services,Specialty Finance,28.08,0.72,0.37,nan,nan,2017
REACH PLC,Media,Publishing,197.52,62.95,nan,nan,nan,nan
REACH4ENTERTAINMENT ENTERPRISES PLC,Media,Media Agencies,9.8,0.97,0.06,-46.14,nan,2017
REACT GROUP PLC,Financial Services,Specialty Finance,0.69,0.17,0.44,nan,nan,2017
REAL ESTATE INVESTORS PLC,Real Estate Investment Trusts,Diversified REITs,95.26,51.1,68.15,63.16,5.3,2017
REAL ESTATE CREDIT INVESTMENTS LIMITED,Financial Services,Specialty Finance,254.13,164.5,163.95,31.12,7.55,2018
REAL GOOD FOOD PLC,Food Producers,Food Products,6.16,6.0,-20.61,62.8,nan,2018
RECKITT BENCKISER GROUP PLC,Household Goods &amp; Home Construction,Nondurable Household Products,42533.59,5965.0,-2266.82,79.33,2.41,2017
RECORD PLC,Financial Services,Asset Managers,62.5,30.8,13.22,nan,5.0,2018
RED EMPEROR RESOURCES NL,Oil &amp; Gas Producers,Exploration &amp; Production,12.59,3.02,1.88,nan,nan,2018
RED ROCK RESOURCES PLC,Mining,General Mining,3.64,0.6,2.1,-11.19,nan,2018
REDCENTRIC PLC,Software &amp; Computer Services,Computer Services,113.34,74.5,-3.06,35.56,nan,2018
REDDE PLC,Financial Services,Specialty Finance,520.13,166.0,18.97,5.28,6.62,2018
REDHALL GROUP PLC,Support Services,Business Support Services,13.15,3.7,2.73,-0.45,nan,2017
REDROW PLC,Household Goods &amp; Home Construction,Home Construction,1817.2,489.0,400.49,-4.25,5.25,2018
REDT ENERGY PLC,Support Services,Business Support Services,40.35,5.15,1.12,nan,nan,2017
REDX PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,7.9,6.25,1.51,nan,nan,2017
REGAL PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,202.0,56.0,13.34,nan,nan,2017
REGENCY MINES PLC,Mining,General Mining,2.19,0.28,0.92,14.44,nan,2017
REGIONAL REIT LIMITED,Real Estate Investment Trusts,Diversified REITs,344.86,95.0,106.69,73.74,4.96,2017
RELX PLC,Media,Publishing,31826.65,1603.0,299.4,nan,2.16,2017
REMOTE MONITORED SYSTEMS PLC,Support Services,Business Support Services,2.41,0.7,nan,-51.56,nan,2017
RENEURON GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,15.51,48.5,115.28,nan,nan,2018
RENEW HOLDINGS PLC,Support Services,Business Support Services,255.53,350.0,-52.09,3.76,2.2,2017
THE RENEWABLES INFRASTRUCTURE GROUP LIMITED,Equity Investment Instruments,Equity Investment Instruments,1333.92,113.4,103.74,nan,5.89,2017
RENEWI PLC,Support Services,Waste &amp; Disposal Services,263.65,33.2,-28.65,138.32,4.07,2018
RENISHAW PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,3086.23,3890.0,679.59,nan,1.13,2018
RENOLD PLC,Industrial Engineering,Industrial Machinery,65.26,28.95,nan,-2700.0,nan,2018
RENTOKIL INITIAL PLC,Support Services,Business Support Services,6215.72,324.1,-15.59,99.05,1.24,2017
RESIDENTIAL SECURE INCOME PLC,Real Estate Investment Trusts,Residential REITs,151.52,87.8,nan,36.75,nan,2018
RESTAURANT GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,700.87,146.0,87.57,12.05,5.87,2017
RESTORE PLC,Support Services,Business Support Services,400.33,323.0,-14.49,47.53,1.23,2016
REVOLUTION BARS GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,49.7,99.9,80.0,nan,0.82,2018
RHI MAGNESITA N.V.,Industrial Engineering,Industrial Machinery,1914.15,3918.0,nan,nan,nan,2017
RHYTHMONE PLC,Software &amp; Computer Services,Internet,149.41,176.4,71.02,2.54,nan,2018
RICARDO PLC,Support Services,Business Support Services,334.32,610.0,147.74,14.82,2.13,2018
RICHLAND RESOURCES LTD,Mining,General Mining,0.68,0.13,0.16,nan,nan,2017
RIGHTMOVE PLC,Media,Media Agencies,3859.44,438.55,1.52,nan,0.12,2017
RIO TINTO PLC,Mining,General Mining,47588.53,3643.0,2360.82,nan,4.11,2017
RIT CAPITAL PARTNERS PLC,Equity Investment Instruments,Equity Investment Instruments,2967.21,1922.0,1732.91,nan,1.64,2016
RIVER AND MERCANTILE GROUP PLC,Financial Services,Asset Managers,186.36,240.0,37.72,nan,6.94,2018
RIVER AND MERCANTILE UK MICRO CAP INVESTMENT COMPANY LIMITED,Equity Investment Instruments,Equity Investment Instruments,71.64,154.5,110.36,nan,13.84,2017
RIVERFORT GLOBAL OPPORTUNITIES PLC,Financial Services,Specialty Finance,6.01,0.1,0.24,nan,nan,2017
RIVERSTONE ENERGY LIMITED,Equity Investment Instruments,Equity Investment Instruments,859.69,1074.0,1612.04,nan,nan,2017
RM PLC,Software &amp; Computer Services,Software,170.27,203.0,-8.44,nan,4.76,2016
RM SECURED DIRECT LENDING PLC,Equity Investment Instruments,Equity Investment Instruments,100.21,101.5,nan,nan,nan,2017
RM2 INTERNATIONAL S.A.,General Industrials,Containers &amp; Packaging,23.52,63.0,10.14,-3.85,nan,2017
ROBERT WALTERS PLC,Support Services,Business Training &amp; Employment Agencies,415.68,550.0,145.95,-25.52,2.04,2017
ROBINSON PLC,General Industrials,Containers &amp; Packaging,10.8,65.0,101.44,27.67,5.47,2017
ROCKFIRE RESOURCES PLC,Mining,General Mining,3.55,1.05,0.29,nan,nan,2017
ROCKHOPPER EXPLORATION PLC,Oil &amp; Gas Producers,Exploration &amp; Production,96.53,22.15,-3.82,nan,nan,2017
